Hypothese,Kategorie,Merkmal,Rohvariable,Technische Variable,n,Spearman rho,p,Richtung,Signifikant p < .05
H1,Strukturale Inszenierung und visuelle Dynamik,Videolänge,video_duration_seconds,nein,500,0.139,0.0017791795301616228,positiv,*
H1,Strukturale Inszenierung und visuelle Dynamik,Cut Count,cuts__cut_count,nein,500,0.052,0.24881901584229568,positiv,
H1,Strukturale Inszenierung und visuelle Dynamik,Cuts pro Sekunde,cuts__cuts_per_second,nein,500,0.051,0.254358458536464,positiv,
H1,Strukturale Inszenierung und visuelle Dynamik,Sekunden pro Cut,seconds_per_cut,nein,285,0.012,0.8459107203099678,positiv,
H1,Strukturale Inszenierung und visuelle Dynamik,Szenenvielfalt,scene_classification__scene_unique_labels,nein,500,0.139,0.0017936996576082926,positiv,*
H1,Strukturale Inszenierung und visuelle Dynamik,Kameradistanzvariation,camera_distance__camera_distance_unique_labels,nein,500,0.052,0.24743983762572827,positiv,
H1,Strukturale Inszenierung und visuelle Dynamik,Stabilitätsindex,camera_stability__stability_index,nein,500,-0.029,0.5196083162084479,negativ,
H1,Strukturale Inszenierung und visuelle Dynamik,Analysierte Frames,cuts__frames_scanned,ja,500,0.156,0.00045948973206298455,positiv,*
H1,Strukturale Inszenierung und visuelle Dynamik,Bildrate des Videos,cuts__video_fps,ja,500,0.186,2.723651906271262e-05,positiv,*
H1,Strukturale Inszenierung und visuelle Dynamik,Cuts pro Frame,cuts__cuts_per_frame,ja,500,0.048,0.28029442694943346,positiv,
H1,Strukturale Inszenierung und visuelle Dynamik,Geschätzte Videolänge,cuts__video_duration_seconds_est,ja,500,0.139,0.001779958358817154,positiv,*
H1,Strukturale Inszenierung und visuelle Dynamik,Konfidenz der Kameradistanzklassifikation,camera_distance__camera_distance_confidence,ja,500,-0.063,0.16137880704094826,negativ,
H1,Strukturale Inszenierung und visuelle Dynamik,Ausgewertete Frames der Kameradistanzanalyse,camera_distance__processed_frame_count,ja,500,0.14,0.001647679103313086,positiv,*
H1,Strukturale Inszenierung und visuelle Dynamik,Konfidenz der Szenenklassifikation,scene_classification__scene_top1_confidence,ja,500,-0.065,0.14585177396010743,negativ,
H1,Strukturale Inszenierung und visuelle Dynamik,Durchschnittliche Bewegungsstärke,camera_stability__optical_flow_magnitude_mean,ja,500,0.029,0.5196083162084479,positiv,
H1,Strukturale Inszenierung und visuelle Dynamik,Streuung der Bewegungsstärke,camera_stability__optical_flow_magnitude_std,ja,500,0.033,0.4636436778513944,positiv,
H1,Strukturale Inszenierung und visuelle Dynamik,Ausgewertete Frame-Paare,camera_stability__processed_frame_pairs,ja,500,0.124,0.005594834420732839,positiv,*
H2,Bildtechnische Qualität,Helligkeit,brightness_contrast__brightness_index,nein,500,-0.067,0.13742413017188507,negativ,
H2,Bildtechnische Qualität,Kontrast,brightness_contrast__contrast_index,nein,500,0.044,0.32279576438326263,positiv,
H2,Bildtechnische Qualität,Sättigung,saturation__saturation_index,nein,500,0.063,0.16061342956252667,positiv,
H2,Bildtechnische Qualität,Durchschnittliche Schärfe,visual_sharpness__sharpness_laplacian_mean,nein,500,0.034,0.44203893350859635,positiv,
H2,Bildtechnische Qualität,Streuung der Bildschärfe,visual_sharpness__sharpness_laplacian_std,nein,500,0.104,0.01995812819508848,positiv,*
H2,Bildtechnische Qualität,Ausgewertete Frames der Schärfeanalyse,visual_sharpness__processed_frame_count,ja,500,0.143,0.0013844467122419624,positiv,*
H3,Ästhetik und visuelle Optimierung,Aesthetic Score,aesthetic_quality__aesthetic_quality_score,nein,500,0.038,0.3999333262148732,positiv,
H3,Ästhetik und visuelle Optimierung,Beauty Score,beauty_scoring__beauty_score_mean,nein,487,0.02,0.6675505135150224,positiv,
H3,Ästhetik und visuelle Optimierung,Beauty Score SD,beauty_scoring__beauty_score_std,nein,487,0.039,0.38977103198059504,positiv,
H3,Ästhetik und visuelle Optimierung,Hautglättung Highpass,skin_smoothness__skin_smoothness_highpass_index,nein,495,-0.103,0.021487196509668502,negativ,*
H3,Ästhetik und visuelle Optimierung,Hautglättung DoG,skin_smoothness__skin_smoothness_dog_index,nein,495,-0.112,0.012620063166206232,negativ,*
H3,Ästhetik und visuelle Optimierung,Wahrscheinlichkeit für Filtereinsatz,visual_filter__filter_strength_prob,nein,500,0.103,0.02125332389999492,positiv,*
H3,Ästhetik und visuelle Optimierung,Streuung der Filterstärke,visual_filter__filter_strength_std,nein,500,-0.049,0.27793029137992725,negativ,
H3,Ästhetik und visuelle Optimierung,Anzahl ästhetisch bewerteter Frames,aesthetic_quality__aesthetic_quality_scored_frames,ja,500,0.143,0.0013844467122419624,positiv,*
H3,Ästhetik und visuelle Optimierung,Anzahl bewertbarer Gesichtsframes,beauty_scoring__beauty_detected_face_frames,ja,500,0.074,0.09672412887910968,positiv,
H3,Ästhetik und visuelle Optimierung,Anzahl auswertbarer Hautframes,skin_smoothness__detected_skin_face_frames,ja,500,0.113,0.01123480261162158,positiv,*
