Rohvariablenname,Tatsächlich verwendete Spalte,Kategorie,Unterkategorie,Merkmal,Hypothese,Haupttext,Anhang,Technisch/auswertungsbezogen,Reihenfolge,Datentyp,Im Datensatz verfügbar
video_duration_seconds,video_duration_seconds,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Videolänge,H1,ja,ja,nein,101,numeric,ja
cuts__cut_count,cuts__cut_count,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Cut Count,H1,ja,ja,nein,102,numeric,ja
cuts__cuts_per_second,cuts__cuts_per_second,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Cuts pro Sekunde,H1,ja,ja,nein,103,numeric,ja
seconds_per_cut,seconds_per_cut,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Sekunden pro Cut,H1,ja,ja,nein,104,numeric,ja
scene_classification__scene_unique_labels,scene_classification__scene_unique_labels,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Szenenvielfalt,H1,ja,ja,nein,105,numeric,ja
camera_distance__camera_distance_unique_labels,camera_distance__camera_distance_unique_labels,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Kameradistanzvariation,H1,ja,ja,nein,106,numeric,ja
camera_stability__stability_index,camera_stability__stability_index,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Stabilitätsindex,H1,ja,ja,nein,107,numeric,ja
cuts__frames_scanned,cuts__frames_scanned,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Analysierte Frames,H1,nein,ja,ja,151,numeric,ja
cuts__video_fps,cuts__video_fps,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Bildrate des Videos,H1,nein,ja,ja,152,numeric,ja
cuts__cuts_per_frame,cuts__cuts_per_frame,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Cuts pro Frame,H1,nein,ja,ja,153,numeric,ja
cuts__video_duration_seconds_est,cuts__video_duration_seconds_est,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Geschätzte Videolänge,H1,nein,ja,ja,154,numeric,ja
camera_distance__camera_distance_confidence,camera_distance__camera_distance_confidence,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Konfidenz der Kameradistanzklassifikation,H1,nein,ja,ja,155,numeric,ja
camera_distance__processed_frame_count,camera_distance__processed_frame_count,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Ausgewertete Frames der Kameradistanzanalyse,H1,nein,ja,ja,156,numeric,ja
scene_classification__scene_top1_confidence,scene_classification__scene_top1_confidence,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Konfidenz der Szenenklassifikation,H1,nein,ja,ja,157,numeric,ja
camera_stability__optical_flow_magnitude_mean,camera_stability__optical_flow_magnitude_mean,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Durchschnittliche Bewegungsstärke,H1,nein,ja,ja,158,numeric,ja
camera_stability__optical_flow_magnitude_std,camera_stability__optical_flow_magnitude_std,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Streuung der Bewegungsstärke,H1,nein,ja,ja,159,numeric,ja
camera_stability__processed_frame_pairs,camera_stability__processed_frame_pairs,Strukturale Inszenierung und visuelle Dynamik,Strukturale Inszenierung und visuelle Dynamik,Ausgewertete Frame-Paare,H1,nein,ja,ja,160,numeric,ja
brightness_contrast__brightness_index,brightness_contrast__brightness_index,Bildtechnische Qualität,Bildtechnische Qualität,Helligkeit,H2,ja,ja,nein,201,numeric,ja
brightness_contrast__contrast_index,brightness_contrast__contrast_index,Bildtechnische Qualität,Bildtechnische Qualität,Kontrast,H2,ja,ja,nein,202,numeric,ja
saturation__saturation_index,saturation__saturation_index,Bildtechnische Qualität,Bildtechnische Qualität,Sättigung,H2,ja,ja,nein,203,numeric,ja
visual_sharpness__sharpness_laplacian_mean,visual_sharpness__sharpness_laplacian_mean,Bildtechnische Qualität,Bildtechnische Qualität,Durchschnittliche Schärfe,H2,ja,ja,nein,204,numeric,ja
