Hypothese,Kategorie,Unterkategorie,Merkmal,Rohvariable,Technische Variable,n VI,M VI,n RI,M RI,U,p Mann-Whitney-U,t Welch,p Welch,Cohen's d (RI - VI),Richtung,Signifikant p < .05
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Aesthetic Score,aesthetic_quality__aesthetic_quality_score,nein,250,4.684,250,4.363,39112.0,1.1346039673168447e-06,4.646,4.424979860793568e-06,-0.416,VI höher,*
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Beauty Score,beauty_scoring__beauty_score_mean,nein,244,32.273,243,31.184,31372.0,0.26647633315013475,1.56,0.11954919253171113,-0.141,VI höher,
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Beauty Score SD,beauty_scoring__beauty_score_std,nein,244,4.822,243,5.169,24769.0,0.0016866069181647142,-0.957,0.3391848247120741,0.087,RI höher,*
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Hautglättung Highpass,skin_smoothness__skin_smoothness_highpass_index,nein,249,0.019,246,0.019,32105.0,0.3531170756438202,-0.086,0.9311952318370229,0.008,RI höher,
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Hautglättung DoG,skin_smoothness__skin_smoothness_dog_index,nein,249,0.058,246,0.061,29256.0,0.3890650275188352,-0.963,0.33627335548197823,0.087,RI höher,
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Wahrscheinlichkeit für Filtereinsatz,visual_filter__filter_strength_prob,nein,250,0.992,250,0.989,35631.0,0.006692175444300367,1.615,0.10719932991778702,-0.144,VI höher,*
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Streuung der Filterstärke,visual_filter__filter_strength_std,nein,250,0.01,250,0.015,23642.0,2.4833959855831356e-06,-1.366,0.17248907877770772,0.122,RI höher,*
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Anzahl ästhetisch bewerteter Frames,aesthetic_quality__aesthetic_quality_scored_frames,ja,250,18.564,250,43.156,18107.5,3.7665685611490024e-16,-7.48,7.698750826375974e-13,0.669,RI höher,*
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Anzahl bewertbarer Gesichtsframes,beauty_scoring__beauty_detected_face_frames,ja,250,14.1,250,30.224,26053.0,0.0012834718702387602,-5.692,2.893846941885668e-08,0.509,RI höher,*
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Anzahl auswertbarer Hautframes,skin_smoothness__detected_skin_face_frames,ja,250,16.132,250,36.0,24103.0,9.459378054481077e-06,-6.328,9.031930268841484e-10,0.566,RI höher,*
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Gewählter Sigma-Wert der Hautanalyse,skin_smoothness__skin_selected_sigma,ja,250,2.0,250,2.0,31250.0,1.0,,,,nicht bestimmbar,
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Feinstruktur der Hauttextur,skin_smoothness__skin_texture_laplacian_var,ja,249,435.137,246,584.883,21919.0,4.440379367270313e-08,-2.438,0.015110028694057896,0.219,RI höher,*
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Hochfrequenztextur der Haut,skin_smoothness__skin_texture_highpass_var,ja,249,127.861,246,155.165,25581.0,0.0015195132185305278,-1.834,0.06728475779029863,0.165,RI höher,*
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Texturkontrast der Haut,skin_smoothness__skin_texture_dog_var,ja,249,27.116,246,27.79,30358.0,0.8659984640000233,-0.384,0.7008345791669739,0.035,RI höher,
H3,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Ausgewertete Frames der Filteranalyse,visual_filter__processed_frame_count,ja,250,10.268,250,11.248,22817.0,1.1538598631005426e-09,-5.869,8.39870822483851e-09,0.525,RI höher,*
Zusatzmetrik,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Has frames,skin_smoothness__has_frames,ja,250,1.0,250,1.0,31250.0,1.0,,,,nicht bestimmbar,
Zusatzmetrik,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Has frames,aesthetic_quality__has_frames,ja,250,1.0,250,1.0,31250.0,1.0,,,,nicht bestimmbar,
Zusatzmetrik,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Has frames,beauty_scoring__has_frames,ja,250,1.0,250,1.0,31250.0,1.0,,,,nicht bestimmbar,
Zusatzmetrik,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Has frames,visual_filter__has_frames,ja,250,1.0,250,1.0,31250.0,1.0,,,,nicht bestimmbar,
