figure,position,video_id,type,title,subtitle,note,group
abb_datasetbeispiele_vi_ri_v01.png,1,7519336027085999415,VI,VI 1 | VI | id=999415,"Modell: scene=beauty; p=0.96; scene_n=1
Modell: stability_idx=0.83; cuts_s=0.00
Modell: cam=medShot; p=0.98",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri_v01.png,2,7500937479499926806,VI,VI 2 | VI | id=926806,"Modell: scene=stage/indoor; p=0.85; scene_n=1
Modell: stability_idx=0.85; cuts_s=0.00
Modell: cam=medCloseUp; p=0.61",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri_v01.png,3,7524539648954207496,VI,VI 3 | VI | id=207496,"Modell: scene=playroom; p=0.70; scene_n=9
Modell: stability_idx=0.74; cuts_s=0.04
Modell: cam=medCloseUp; p=0.65",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri_v01.png,4,7512643920539700526,RI,RI 1 | RI | id=700526,"Modell: scene=beauty; p=0.95; scene_n=1
Modell: stability_idx=0.79; cuts_s=0.00
Modell: cam=medCloseUp; p=0.80",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri_v01.png,5,7571206423640575246,RI,RI 2 | RI | id=575246,"Modell: scene=airplane; p=0.93; scene_n=1
Modell: stability_idx=0.98; cuts_s=0.00
Modell: cam=medCloseUp; p=0.65",Datensatzbeispiel,scene
abb_datasetbeispiele_vi_ri_v01.png,6,7520049050889080119,RI,RI 3 | RI | id=080119,"Modell: scene=park; p=0.76; scene_n=1
Modell: stability_idx=0.95; cuts_s=0.02
Modell: cam=medShot; p=0.91",Datensatzbeispiel,scene
abb_human_evaluation_modellplausibilitaet_v01.png,1,7521175951602945293,VI,Szene | VI | id=945293,"Modell: scene=beauty; p=0.52; scene_n=1
Menschliche Bewertung des Modells: Szene=sehr gut passend (5.00/5 Likert-Skala; n=2)",scene_variant_1,human_evaluation_overview
abb_human_evaluation_modellplausibilitaet_v01.png,2,7467202100674497834,VI,Kameradistanz | VI | id=497834,"Modell: distance=medCloseUp; p=0.76; frames=10
Menschliche Bewertung des Modells: Kameradistanz=sehr gut passend (5.00/5 Likert-Skala; n=2)",camera_distance_variant_1,human_evaluation_overview
abb_human_evaluation_modellplausibilitaet_v01.png,3,7586737085831286071,RI,Pose | RI | id=286071,"Modell: pose=running; p=0.38; pose_frames=30
Menschliche Bewertung des Modells: Pose=sehr schlecht passend (1.00/5 Likert-Skala; n=1)",body_pose_variant_1,human_evaluation_overview
abb_visuelle_settings_szenen_v01.png,1,7500937479499926806,VI,VI | stage/indoor | VI | id=926806,"Modell: scene=stage/indoor; p=0.85; scene_n=1
Modell: stability_idx=0.85; cuts_s=0.00
Modell: cam=medCloseUp; p=0.61",Szenenbeispiel,scene
abb_visuelle_settings_szenen_v01.png,2,7524539648954207496,VI,VI | playroom | VI | id=207496,"Modell: scene=playroom; p=0.70; scene_n=9
Modell: stability_idx=0.74; cuts_s=0.04
Modell: cam=medCloseUp; p=0.65",Szenenbeispiel,scene
abb_visuelle_settings_szenen_v01.png,3,7519336027085999415,VI,VI | beauty_salon | VI | id=999415,"Modell: scene=beauty; p=0.96; scene_n=1
Modell: stability_idx=0.83; cuts_s=0.00
Modell: cam=medShot; p=0.98",Szenenbeispiel,scene
abb_visuelle_settings_szenen_v01.png,4,7571206423640575246,RI,RI | airplane_cabin | RI | id=575246,"Modell: scene=airplane; p=0.93; scene_n=1
Modell: stability_idx=0.98; cuts_s=0.00
Modell: cam=medCloseUp; p=0.65",Szenenbeispiel,scene
abb_visuelle_settings_szenen_v01.png,5,7500687358904290603,RI,RI | car_interior | RI | id=290603,"Modell: scene=car; p=0.97; scene_n=7
Modell: stability_idx=0.70; cuts_s=0.09
Modell: cam=medCloseUp; p=0.61",Szenenbeispiel,scene
abb_visuelle_settings_szenen_v01.png,6,7520049050889080119,RI,RI | park | RI | id=080119,"Modell: scene=park; p=0.76; scene_n=1
Modell: stability_idx=0.95; cuts_s=0.02
Modell: cam=medShot; p=0.91",Szenenbeispiel,scene
abb_kategorie_scene_v01.png,1,7521175951602945293,VI,Szene | VI | id=945293,"Modell: scene=beauty; p=0.52; scene_n=1
Menschliche Bewertung des Modells: Szene=sehr gut passend (5.00/5 Likert-Skala; n=2)",scene_variant_1,scene
abb_kategorie_scene_v01.png,2,7561901530916343095,RI,Szene | RI | id=343095,"Modell: scene=art-studio; p=0.21; scene_n=7
Menschliche Bewertung des Modells: Szene=gut passend (4.00/5 Likert-Skala; n=2)",scene_variant_1,scene
abb_kategorie_scene_v01.png,3,7577558634071133454,RI,Szene | RI | id=133454,"Modell: scene=ice-cream-parlor; p=0.45; scene_n=2
Menschliche Bewertung des Modells: Szene=zwischen eher schlecht passend und teilweise passend (2.50/5 Likert-Skala; n=2)",scene_variant_1,scene
abb_kategorie_camera_distance_v01.png,1,7037583058626759941,VI,Kameradistanz | VI | id=759941,"Modell: distance=closeUp; p=0.66; frames=10
Menschliche Bewertung des Modells: Kameradistanz=sehr gut passend (5.00/5 Likert-Skala; n=2)",camera_distance_variant_1,camera_distance
abb_kategorie_camera_distance_v01.png,2,7467202100674497834,VI,Kameradistanz | VI | id=497834,"Modell: distance=medCloseUp; p=0.76; frames=10
Menschliche Bewertung des Modells: Kameradistanz=sehr gut passend (5.00/5 Likert-Skala; n=2)",camera_distance_variant_1,camera_distance
abb_kategorie_camera_distance_v01.png,3,7452207597907676424,VI,Kameradistanz | VI | id=676424,"Modell: distance=medShot; p=0.89; frames=33
Menschliche Bewertung des Modells: Kameradistanz=zwischen gut passend und sehr gut passend (4.50/5 Likert-Skala; n=2)",camera_distance_variant_1,camera_distance
abb_kategorie_camera_stability_v01.png,1,7037583058626759941,VI,Stabilität | VI | id=759941,"Modell: stability_idx=0.82 (eher stabil); flow_mean=0.00 (sehr ruhig kaum Bewegung); pairs=26
Menschliche Bewertung des Modells: Stabilität=sehr gut passend (5.00/5 Likert-Skala; n=2)",camera_stability_variant_1,camera_stability
abb_kategorie_camera_stability_v01.png,2,7586737085831286071,RI,Stabilität | RI | id=286071,"Modell: stability_idx=0.48 (eher instabil); flow_mean=0.01 (eher ruhig); pairs=80
Menschliche Bewertung des Modells: Stabilität=zwischen gut passend und sehr gut passend (4.50/5 Likert-Skala; n=2)",camera_stability_variant_1,camera_stability
abb_kategorie_camera_stability_v01.png,3,7561901530916343095,RI,Stabilität | RI | id=343095,"Modell: stability_idx=0.28 (sehr instabil); flow_mean=0.03 (eher bewegt); pairs=46
Menschliche Bewertung des Modells: Stabilität=gut passend (4.00/5 Likert-Skala; n=2)",camera_stability_variant_1,camera_stability
abb_kategorie_cuts_v01.png,1,7037583058626759941,VI,Schnitte/Dynamik | VI | id=759941,"Modell: cut_count=1 (sehr wenige Schnitte); cuts_s=0.11 (sehr ruhig kaum Schnitte); frames=458
Menschliche Bewertung des Modells: Schnitte/Dynamik=sehr gut passend (5.00/5 Likert-Skala; n=2)",cuts_variant_1,cuts
abb_kategorie_cuts_v01.png,2,7467202100674497834,VI,Schnitte/Dynamik | VI | id=497834,"Modell: cut_count=0 (sehr wenige Schnitte); cuts_s=0.00 (sehr ruhig kaum Schnitte); frames=272
Menschliche Bewertung des Modells: Schnitte/Dynamik=sehr gut passend (5.00/5 Likert-Skala; n=2)",cuts_variant_1,cuts
abb_kategorie_cuts_v01.png,3,7561901530916343095,RI,Schnitte/Dynamik | RI | id=343095,"Modell: cut_count=19 (sehr wenige Schnitte); cuts_s=1.19 (sehr ruhig kaum Schnitte); frames=461
Menschliche Bewertung des Modells: Schnitte/Dynamik=zwischen gut passend und sehr gut passend (4.50/5 Likert-Skala; n=2)",cuts_variant_1,cuts
abb_kategorie_face_emotion_v01.png,1,7561901530916343095,RI,Emotion | RI | id=343095,"Modell: emotion=Neutral; p=0.62; face_frames=16
Menschliche Bewertung des Modells: Emotion=sehr gut passend (5.00/5 Likert-Skala; n=1)",face_emotion_variant_1,face_emotion
abb_kategorie_face_emotion_v01.png,2,7516376664570416426,VI,Emotion | VI | id=416426,"Modell: emotion=Surprise; p=0.86; face_frames=8
Menschliche Bewertung des Modells: Emotion=teilweise passend (3.00/5 Likert-Skala; n=2)",face_emotion_variant_1,face_emotion
abb_kategorie_face_emotion_v01.png,3,7027954993026190598,VI,Emotion | VI | id=190598,"Modell: emotion=Happy; p=0.64; face_frames=10
Menschliche Bewertung des Modells: Emotion=zwischen gut passend und sehr gut passend (4.50/5 Likert-Skala; n=2)",face_emotion_variant_1,face_emotion
abb_kategorie_body_pose_v01.png,1,7129589619099847982,VI,Pose | VI | id=847982,"Modell: pose=laughing; p=0.50; pose_frames=8
Menschliche Bewertung des Modells: Pose=zwischen gut passend und sehr gut passend (4.50/5 Likert-Skala; n=2)",body_pose_variant_1,body_pose
abb_kategorie_body_pose_v01.png,2,7037583058626759941,VI,Pose | VI | id=759941,"Modell: pose=listening-to-music; p=0.41; pose_frames=10
Menschliche Bewertung des Modells: Pose=zwischen teilweise passend und gut passend (3.50/5 Likert-Skala; n=2)",body_pose_variant_1,body_pose
abb_kategorie_body_pose_v01.png,3,7586737085831286071,RI,Pose | RI | id=286071,"Modell: pose=running; p=0.38; pose_frames=30
Menschliche Bewertung des Modells: Pose=sehr schlecht passend (1.00/5 Likert-Skala; n=1)",body_pose_variant_1,body_pose
abb_kategorie_beauty_score_v01.png,1,7037583058626759941,VI,Beauty-Score | VI | id=759941,"Modell: beauty_mean=36.08 (mittlerer Beauty-Score); sd=3.08; face_frames=9
Menschliche Bewertung des Modells: Beauty-Score=gut passend (4.00/5 Likert-Skala; n=2)",beauty_score_variant_1,beauty_score
