Feature,VI: n,VI: M,VI: SD,VI: Md,VI: IQR,VI: Min,VI: Max,RI: n,RI: M,RI: SD,RI: Md,RI: IQR,RI: Min,RI: Max,Richtung
Videolänge,250,18.125,17.318,11.564,10.831,2.733,117.8,250,42.777,49.067,24.684,44.066,4.967,325.167,RI höher
Cut Count,250,3.9,10.101,0.0,1.0,0.0,57.0,250,14.952,31.97,6.0,18.0,0.0,340.0,RI höher
Cuts pro Sekunde,250,0.182,0.485,0.0,0.135,0.0,5.505,250,0.524,0.979,0.229,0.661,0.0,8.45,RI höher
Sekunden pro Cut,100,8.499,14.686,5.059,6.603,0.182,117.8,185,7.988,17.961,2.238,4.761,0.118,132.116,VI höher
Szenenvielfalt,250,3.952,4.24,2.5,2.0,1.0,25.0,250,7.192,7.589,5.0,7.0,1.0,54.0,RI höher
Kameradistanzvariation,250,1.944,1.247,2.0,1.0,1.0,7.0,250,2.428,1.355,2.0,2.0,1.0,7.0,RI höher
Helligkeit,250,114.907,34.689,120.803,44.702,15.892,199.457,250,120.949,22.685,122.409,25.418,35.873,185.426,RI höher
Kontrast,250,59.556,11.375,59.281,15.321,33.659,87.942,250,60.027,7.223,60.071,8.549,33.886,88.945,RI höher
Sättigung,250,83.861,37.431,77.489,43.246,24.461,225.816,250,66.769,19.401,65.03,27.544,29.933,145.145,VI höher
Schärfe,250,505.223,396.868,397.573,377.032,44.93,2598.6,250,625.707,498.251,483.079,399.124,139.521,3327.96,RI höher
Aesthetic Score,250,4.684,0.875,4.697,1.07,2.051,7.528,250,4.363,0.652,4.315,0.857,2.496,6.647,VI höher
Beauty Score,244,32.273,8.816,31.286,7.847,14.698,85.219,243,31.184,6.41,30.058,6.458,14.987,59.105,VI höher
Beauty Score SD,244,4.822,4.435,3.297,4.718,0.0,28.939,243,5.169,3.523,4.573,3.854,0.0,19.496,RI höher
Hautglättung,249,0.019,0.018,0.014,0.015,0.001,0.183,246,0.019,0.025,0.014,0.016,0.001,0.258,RI höher
Face Pitch,247,6.948,4.988,7.549,6.599,-16.232,19.639,244,6.226,6.2,6.767,6.548,-38.289,36.366,VI höher
Face Yaw,247,-0.718,13.615,0.268,8.878,-52.347,60.0,244,-0.559,11.85,0.557,10.074,-60.0,35.765,RI höher
Pose Confidence,250,0.639,0.176,0.618,0.236,0.27,0.986,250,0.583,0.147,0.576,0.191,0.203,0.969,VI höher
Personenanzahl,250,2.332,1.595,2.0,1.299,0.556,16.4,250,1.931,0.869,1.792,1.005,0.0,7.917,VI höher
