Kategorie,n,M,SD,Md,IQR,Min,Max,Interpretationsklasse
Ästhetische Qualität,50,3.72,0.64,4.0,0.5,2.5,5.0,hoch belastbar
Schönheitsbewertung,50,3.29,0.893,3.25,1.5,1.5,5.0,mittel belastbar
Körperpose,49,2.949,0.986,3.0,1.0,1.0,5.0,explorativ
Helligkeit,50,4.19,0.427,4.0,0.5,3.0,5.0,hoch belastbar
Kameradistanz,50,4.7,0.452,5.0,0.5,3.5,5.0,hoch belastbar
Kamerastabilität,50,4.36,0.685,4.5,1.0,3.0,5.0,hoch belastbar
Kontrast,50,4.06,0.399,4.0,0.5,3.0,4.5,hoch belastbar
Schnittdynamik,50,4.77,0.537,5.0,0.0,2.0,5.0,hoch belastbar
Gesichtsemotion,49,3.724,0.913,4.0,1.5,1.0,5.0,hoch belastbar
Gesichtsausrichtung,49,4.235,0.919,4.5,1.0,1.0,5.0,hoch belastbar
Filterstärke,50,4.19,0.524,4.5,0.5,2.5,5.0,hoch belastbar
Personenanzahl,50,3.66,1.201,4.0,1.875,1.0,5.0,hoch belastbar
Sättigung,50,4.1,0.463,4.0,0.5,3.0,5.0,hoch belastbar
Szenenkontext,50,3.48,1.313,3.5,2.5,1.0,5.0,mittel belastbar
Schärfe,50,3.84,0.468,4.0,0.5,3.0,5.0,hoch belastbar
Hautglättung,49,3.327,0.74,3.0,1.0,2.0,5.0,mittel belastbar
